size,repeats,singles,maxRepeat,edges,psoIter,heuristic,blocks,score,time,left,right
 64, 8,28,  6, 10,   ,  greedy, 56,0.13,   0.015,"[16,13 19,3 7,29,17,4,4,27,5,14,5,2,6,11,2,22,1,12,0,2,1,3 2,20,3,34,10,7,21,7 7,18,9,25,24,8,15,3 7,4,6 2,6,1 7,33,23,32,3,30,5,5,1,26,35,1,6 31,0,28,6,1]","[5,15,1,18,30,0,6 31,4,33,3 7,9,26,20,23,2,3,11,6 2,28,7 7,27,22,12,1,1,5,3,8,35,2,7,13 19,17,21,1,34,2,5,29,16,4,1,14,4,1 7,6,32,24,3 2,5,6,3 7,25,6,10,0]"
 64, 8,28,  6, 10,  0,     pso, 56,0.13,   1.854,"[16,13 19,3 7,29,17,4,4,27,5,14,5,2,6,11,2,22,1,12,0,2,1,3 2,20,3,34,10,7,21,7 7,18,9,25,24,8,15,3 7,4,6 2,6,1 7,33,23,32,3,30,5,5,1,26,35,1,6 31,0,28,6,1]","[5,15,1,18,30,0,6 31,4,33,3 7,9,26,20,23,2,3,11,6 2,28,7 7,27,22,12,1,1,5,3,8,35,2,7,13 19,17,21,1,34,2,5,29,16,4,1,14,4,1 7,6,32,24,3 2,5,6,3 7,25,6,10,0]"
 66, 5, 7, 17,143,   , combine, 46,0.31,   0.001,"[1 2,11,3 1,3 2,4 1 4 1,2 1,1 4,7,3 1,4 1,4 2,3,10,3 3,3,1,0 0,0,1,4 4,4 3,4,4 2,1 2,4 1,4,4 0,2,3,4,4,8,0,1,2 4,9,5,0,6,0,1,0,2,3,4,0]","[0,4 1,8,3,0 0,3 3,4,1 2,1,3 1,11,4 4,10,1,3 2,6,4,4 1 4 1,1 2,2 1,4 1,2,4 2,0,1 4,4 0,0,3 1,7,4 2,2 4,0,4,4 3,0,4,9,0,4,3,3,5,1,3,2,1]"
 66, 5, 7, 17,143,   ,combineS, 45,0.32,   0.001,"[1 2,11,3 1,3 2,4 1 4 1,2 1,1 4,7,3 1,4 1,4 2,3,10,3 3,3,1,0 0,0,1,4 4,4 3,4,4 2,1 2,4 1,4,4 0,2,3,4,4,8,0,1,2,4 9,5,0,6,0,1,0,2,3,4 0]","[0,4 1,8,3,0 0,3 3,4,1 2,1,3 1,11,4 4,10,1,3 2,6,4,4 1 4 1,1 2,2 1,4 1,2,4 2,0,1 4,4 0,0,3 1,7,4 2,2,4 0,4,4 3,0,4 9,0,4,3,3,5,1,3,2,1]"
 66, 5, 7, 17,143,   ,  greedy, 42,0.37,   0.010,"[1 2,11,3,1 3 2,4 1 4 1,2 1,1,4,7,3 1,4 1,4 2,3,10,3 3,3 1,0 0,0,1,4,4 4 3,4 4,2 1,2 4,1 4 4 0,2,3 4,4,8,0,1 2 4,9,5,0,6,0,1,0,2,3,4,0]","[0,4 1,8,3,0 0,3,3 4,1,2 1,3 1,11,4 4,10,1 3 2,6,4,4 1 4 1,1 2,2 1,4,1 2 4,2,0,1 4 4 0,0,3 1,7,4 2,2 4,0,4 4 3,0,4,9,0,4,3 3,5,1,3,2,1]"
 66, 5, 7, 17,143,  0,     pso, 42,0.37,  38.268,"[1 2,11,3,1 3 2,4 1 4 1,2 1,1,4,7,3 1,4 1,4 2,3,10,3 3,3 1,0 0,0,1,4,4 4 3,4 4,2 1,2 4,1 4 4 0,2,3 4,4,8,0,1 2 4,9,5,0,6,0,1,0,2,3,4,0]","[0,4 1,8,3,0 0,3,3 4,1,2 1,3 1,11,4 4,10,1 3 2,6,4,4 1 4 1,1 2,2 1,4,1 2 4,2,0,1 4 4 0,0,3 1,7,4 2,2 4,0,4 4 3,0,4,9,0,4,3 3,5,1,3,2,1]"
 56, 6,22,  9, 14,   , combine, 48,0.15,   0.001,"[4 2,7,5,26,0,5 3,3 2,4,19,0 0,8 3,2,27,16,4 5,4,22,15,0,21,2,23,5,4,20,2,25,1,14,1,17,4,3,13,2,1,10,11,4,4,18,6,12,9 2,24,5 0,2,2]","[4,10,0 0,3 2,2,9 2,0,24,2,4,16,2,4 2,25,18,8 3,27,5 3,4,6,7,0,4,1,1,2,5,12,4,23,19,4,26,17,20,15,5 0,13,1,3,22,11,2,21,14,5,2,4 5]"
 56, 6,22,  9, 14,   ,combineS, 48,0.15,   0.001,"[4,2,7,5,26,0,5 3,3 2,4,19,0 0,8 3,2,27,16,4 5,4,22,15,0,21,2,23,5,4,20,2 25,1,14,1,17,4,3,13,2,1,10,11,4,4,18,6,12,9 2,24,5 0,2,2]","[4,10,0 0,3 2,2,9 2,0,24,2,4,16,2,4,2 25,18,8 3,27,5 3,4,6,7,0,4,1,1,2,5,12,4,23,19,4,26,17,20,15,5 0,13,1,3,22,11,2,21,14,5,2,4 5]"
 56, 6,22,  9, 14,   ,  greedy, 48,0.15,   0.011,"[4 2,7,5,26,0,5 3,3,2 4,19,0 0,8 3,2,27,16,4,5,4,22,15,0,21,2,23,5,4,20,2,25,1,14,1,17,4,3,13,2,1,10,11,4,4,18,6,12,9 2,24,5 0,2 2]","[4,10,0 0,3,2 2,9 2,0,24,2,4,16,2,4 2,25,18,8 3,27,5 3,4,6,7,0,4,1,1,2,5,12,4,23,19,4,26,17,20,15,5 0,13,1,3,22,11,2,21,14,5,2 4,5]"
 56, 6,22,  9, 14,  0,     pso, 47,0.16,   3.004,"[4,2,7,5,26,0,5 3,3,2 4,19,0 0,8 3,2,27,16,4 5,4,22,15,0,21,2,23,5,4,20,2 25,1,14,1,17,4,3,13,2,1,10,11,4,4,18,6,12,9 2,24,5 0,2 2]","[4,10,0 0,3,2 2,9 2,0,24,2,4,16,2 4,2 25,18,8 3,27,5 3,4,6,7,0,4,1,1,2,5,12,4,23,19,4,26,17,20,15,5 0,13,1,3,22,11,2,21,14,5,2,4 5]"
