size,repeats,singles,maxRepeat,edges,psoIter,heuristic,blocks,score,time,left,right,pair
18,4,5,6,6,0,psoPure,14,0.23529411764705882,0.699,"[1,0 2,4,3,1 2,6 0,1,2,8,1 5,1,3,1,7]","[3,0 2,2,1,4,6 0,7,1 2,1,1 5,3,8,1,1]",1 0 2 4 3 1 2 6 0 1 2 8 1 5 1 3 1 73 0 2 2 1 4 6 0 7 1 2 1 1 5 3 8 1 1
18,4,5,6,6,0,psoComb,14,0.23529411764705882,1.7,"[1,0 2,4,3,1 2,6 0,1,2,8 1,5,1,3,1,7]","[3,0 2,2,1,4,6 0,7,1 2,1,1,5,3,8 1,1]",1 0 2 4 3 1 2 6 0 1 2 8 1 5 1 3 1 73 0 2 2 1 4 6 0 7 1 2 1 1 5 3 8 1 1
18,4,5,6,6,,FPT,14,0.23529411764705882,1.874,,,1 0 2 4 3 1 2 6 0 1 2 8 1 5 1 3 1 73 0 2 2 1 4 6 0 7 1 2 1 1 5 3 8 1 1
19,5,7,3,4,,combine,17,0.1111111111111111,0.0,"[3,10,2,11,4,4,6,5,12,0,0,3,8,7 0 2,9,2,5]","[4,5,8,9,3,5,10,4,2,0,2,0,11,3,12,7 0 2,6]",3 10 2 11 4 4 6 5 12 0 0 3 8 7 0 2 9 2 54 5 8 9 3 5 10 4 2 0 2 0 11 3 12 7 0 2 6
19,5,7,3,4,,combineS,17,0.1111111111111111,0.0,"[3,10,2,11,4,4,6,5,12,0,0,3,8,7 0 2,9,2,5]","[4,5,8,9,3,5,10,4,2,0,2,0,11,3,12,7 0 2,6]",3 10 2 11 4 4 6 5 12 0 0 3 8 7 0 2 9 2 54 5 8 9 3 5 10 4 2 0 2 0 11 3 12 7 0 2 6
19,5,7,3,4,,greedy,17,0.1111111111111111,0.001,"[3,10,2,11,4,4,6,5,12,0,0,3,8,7 0 2,9,2,5]","[4,5,8,9,3,5,10,4,2,0,2,0,11,3,12,7 0 2,6]",3 10 2 11 4 4 6 5 12 0 0 3 8 7 0 2 9 2 54 5 8 9 3 5 10 4 2 0 2 0 11 3 12 7 0 2 6
19,5,7,3,4,0,pso,17,0.1111111111111111,0.216,"[3,10,2,11,4,4,6,5,12,0,0,3,8,7 0 2,9,2,5]","[4,5,8,9,3,5,10,4,2,0,2,0,11,3,12,7 0 2,6]",3 10 2 11 4 4 6 5 12 0 0 3 8 7 0 2 9 2 54 5 8 9 3 5 10 4 2 0 2 0 11 3 12 7 0 2 6
19,5,7,3,4,0,psoPure,17,0.1111111111111111,0.207,"[3,10,2,11,4,4,6,5,12,0,0,3,8,7 0 2,9,2,5]","[4,5,8,9,3,5,10,4,2,0,2,0,11,3,12,7 0 2,6]",3 10 2 11 4 4 6 5 12 0 0 3 8 7 0 2 9 2 54 5 8 9 3 5 10 4 2 0 2 0 11 3 12 7 0 2 6
19,5,7,3,4,0,psoComb,17,0.1111111111111111,1.665,"[3,10,2,11,4,4,6,5,12,0,0,3,8,7 0 2,9,2,5]","[4,5,8,9,3,5,10,4,2,0,2,0,11,3,12,7 0 2,6]",3 10 2 11 4 4 6 5 12 0 0 3 8 7 0 2 9 2 54 5 8 9 3 5 10 4 2 0 2 0 11 3 12 7 0 2 6
19,5,7,3,4,,FPT,17,0.1111111111111111,0.094,,,3 10 2 11 4 4 6 5 12 0 0 3 8 7 0 2 9 2 54 5 8 9 3 5 10 4 2 0 2 0 11 3 12 7 0 2 6
