size,repeats,singles,maxRepeat,edges,psoIter,heuristic,blocks,score,time,exact,left,right
 18, 3, 2,  9, 40,   ,combineS, 11,0.41,   0.000,N,"[0 1,0 1,0,0 1 1,2,3,1,2 4,1 1,1 2,1]","[1,0 1 1,0,2 4,2,1 1,0 1,1,1 2,0 1,3]"
 18, 3, 2,  9, 40,   ,  greedy, 11,0.41,   0.000,N,"[0,1 0 1,0,0 1,1,2,3,1,2 4,1 1 1 2,1]","[1 0 1,1,0,2 4,2,1,1,0,1 1 1 2,0 1,3]"
 18, 3, 2,  9, 40,  1,     pso, 10,0.47,   3.986,N,"[0 1,0,1 0,0 1 1,2,3,1,2 4,1 1 1 2,1]","[1,0 1 1,0,2 4,2,1,1 0,1 1 1 2,0 1,3]"
 18, 3, 2,  9, 40,  0, psoPure, 10,0.47,   4.141,N,"[0 1,0,1 0,0 1 1,2,3,1,2 4,1 1 1 2,1]","[1,0 1 1,0,2 4,2,1,1 0,1 1 1 2,0 1,3]"
 18, 3, 2,  9, 40,  1, psoComb, 10,0.47,   4.426,N,"[0 1,0,1 0,0 1 1,2,3,1,2 4,1 1 1 2,1]","[1,0 1 1,0,2 4,2,1,1 0,1 1 1 2,0 1,3]"
 18, 3, 2,  9, 40,   ,     FPT, 10,0.47,  10.434,Y,,
 18, 4, 5,  6,  6,   , combine, 14,0.24,   0.000,N,"[1,0 2,4,3,1 2,6 0,1,2,8 1,5,1,3,1,7]","[3,0 2,2,1,4,6 0,7,1 2,1,1,5,3,8 1,1]"
 18, 4, 5,  6,  6,   ,combineS, 14,0.24,   0.000,N,"[1,0 2,4,3,1 2,6 0,1,2,8 1,5,1,3,1,7]","[3,0 2,2,1,4,6 0,7,1 2,1,1,5,3,8 1,1]"
 18, 4, 5,  6,  6,   ,  greedy, 14,0.24,   0.000,N,"[1,0 2,4,3,1,2,6 0,1 2,8 1,5,1,3,1,7]","[3,0 2,2,1,4,6 0,7,1 2,1,1,5,3,8 1,1]"
 18, 4, 5,  6,  6,  0,     pso, 14,0.24,   0.715,N,"[1,0 2,4,3,1 2,6 0,1,2,8 1,5,1,3,1,7]","[3,0 2,2,1,4,6 0,7,1 2,1,1,5,3,8 1,1]"
 18, 4, 5,  6,  6,  0, psoPure, 14,0.24,   0.702,N,"[1,0 2,4,3,1 2,6 0,1,2,8,1 5,1,3,1,7]","[3,0 2,2,1,4,6 0,7,1 2,1,1 5,3,8,1,1]"
 18, 4, 5,  6,  6,  0, psoComb, 14,0.24,   1.115,N,"[1,0 2,4,3,1 2,6 0,1,2,8 1,5,1,3,1,7]","[3,0 2,2,1,4,6 0,7,1 2,1,1,5,3,8 1,1]"
 18, 4, 5,  6,  6,   ,     FPT, 14,0.24,   1.874,Y,,
 19, 5, 7,  3,  4,   , combine, 17,0.11,   0.000,N,"[3,10,2,11,4,4,6,5,12,0,0,3,8,7 0 2,9,2,5]","[4,5,8,9,3,5,10,4,2,0,2,0,11,3,12,7 0 2,6]"
 19, 5, 7,  3,  4,   ,combineS, 17,0.11,   0.000,N,"[3,10,2,11,4,4,6,5,12,0,0,3,8,7 0 2,9,2,5]","[4,5,8,9,3,5,10,4,2,0,2,0,11,3,12,7 0 2,6]"
 19, 5, 7,  3,  4,   ,  greedy, 17,0.11,   0.001,N,"[3,10,2,11,4,4,6,5,12,0,0,3,8,7 0 2,9,2,5]","[4,5,8,9,3,5,10,4,2,0,2,0,11,3,12,7 0 2,6]"
