size,repeats,singles,maxRepeat,edges,heuristic,blocks,score,time,left,right
 45, 7,15,  7,  8,  greedy, 41,0.09,   0.005,"[5,1,5,14,5 10,2,21,2,11,17,6,0,1,5,4,3,5,19,7,2 1,13,12,18,2,15,6,0 4,0,4,8,5,3 2,4,9,3,6,1,20,16,5,1]","[1,13,21,17,5,2,4,15,3,2,5,5,5,6,4,6,16,1,1,6,14,19,11,5,7,0,8,0,12,4,5,0 4,20,18,5 10,9,2 1,3 2,3,1,2]"
 45, 7,15,  7,  8,     pso, 41,0.09,   0.464,"[5,1,5,14,5 10,2,21,2,11,17,6,0,1,5,4,3,5,19,7,2 1,13,12,18,2,15,6,0 4,0,4,8,5,3 2,4,9,3,6,1,20,16,5,1]","[1,13,21,17,5,2,4,15,3,2,5,5,5,6,4,6,16,1,1,6,14,19,11,5,7,0,8,0,12,4,5,0 4,20,18,5 10,9,2 1,3 2,3,1,2]"
 55, 5,24,  7, 18, combine, 47,0.15,   0.000,"[26,0,27,11,4,15,19,5,2 3,1 4,14,12,21,4 3,28,4 0,1,2,6,13,25,3,8,2 4 3,4,20,16,24,7,18,1,3 3,23,4,1,9,0,0 2,2,10,3,0,0,1,2,17,22]","[0,25,1 4,1,22,0,4,2 3,0 2,1,27,1,1,21,2,3,9,4 3,24,16,15,28,7,11,8,10,26,3 3,0,14,5,23,6,19,17,2,18,20,13,0,2 4 3,3,4,4 0,4,2,12]"
 55, 5,24,  7, 18,combineS, 47,0.15,   0.000,"[26,0,27,11,4,15,19,5,2 3,1 4,14,12,21,4 3,28,4 0,1,2,6,13,25,3,8,2 4 3,4,20,16,24,7,18,1,3 3,23,4,1,9,0,0 2,2,10,3,0,0,1,2,17,22]","[0,25,1 4,1,22,0,4,2 3,0 2,1,27,1,1,21,2,3,9,4 3,24,16,15,28,7,11,8,10,26,3 3,0,14,5,23,6,19,17,2,18,20,13,0,2 4 3,3,4,4 0,4,2,12]"
 55, 5,24,  7, 18,  greedy, 47,0.15,   0.007,"[26,0,27,11,4,15,19,5,2 3,1 4,14,12,21,4 3,28,4 0,1,2,6,13,25,3,8,2 4 3,4,20,16,24,7,18,1,3,3,23,4,1,9,0,0 2,2,10,3 0,0,1,2,17,22]","[0,25,1 4,1,22,0,4,2 3,0 2,1,27,1,1,21,2,3,9,4 3,24,16,15,28,7,11,8,10,26,3,3 0,14,5,23,6,19,17,2,18,20,13,0,2 4 3,3,4,4 0,4,2,12]"
 55, 5,24,  7, 18,     pso, 47,0.15,   1.535,"[26,0,27,11,4,15,19,5,2 3,1 4,14,12,21,4 3,28,4 0,1,2,6,13,25,3,8,2 4 3,4,20,16,24,7,18,1,3,3,23,4,1,9,0,0 2,2,10,3 0,0,1,2,17,22]","[0,25,1 4,1,22,0,4,2 3,0 2,1,27,1,1,21,2,3,9,4 3,24,16,15,28,7,11,8,10,26,3,3 0,14,5,23,6,19,17,2,18,20,13,0,2 4 3,3,4,4 0,4,2,12]"
 65,10,28,  6,  4, combine, 61,0.06,   0.000,"[24,28,9,0,9,21,0,4,8,1,12,5,11,37,7,5,0,6 9,18,10,0,34,15,7,4,17,13,7 8,14,27,2,19 2,29,0,22,3,2,20,3,5,9,30,3,26,32,23,3,5,4,33,2 0,6,1,35,36,16,4,8,31,6,25]","[13,15,5,16,8,6,7 8,0,29,2 0,32,5,7,19 2,5,6,18,14,9,33,5,28,0,0,0,3,34,23,8,20,2,4,3,4,24,10,11,31,4,0,26,30,27,6 9,3,22,1,36,37,21,3,9,7,2,17,35,9,12,25,4,1]"
 65,10,28,  6,  4,combineS, 61,0.06,   0.001,"[24,28,9,0,9,21,0,4,8,1,12,5,11,37,7,5,0,6 9,18,10,0,34,15,7,4,17,13,7 8,14,27,2,19 2,29,0,22,3,2,20,3,5,9,30,3,26,32,23,3,5,4,33,2 0,6,1,35,36,16,4,8,31,6,25]","[13,15,5,16,8,6,7 8,0,29,2 0,32,5,7,19 2,5,6,18,14,9,33,5,28,0,0,0,3,34,23,8,20,2,4,3,4,24,10,11,31,4,0,26,30,27,6 9,3,22,1,36,37,21,3,9,7,2,17,35,9,12,25,4,1]"
 65,10,28,  6,  4,  greedy, 61,0.06,   0.014,"[24,28,9,0,9,21,0,4,8,1,12,5,11,37,7,5,0,6 9,18,10,0,34,15,7,4,17,13,7 8,14,27,2,19 2,29,0,22,3,2,20,3,5,9,30,3,26,32,23,3,5,4,33,2 0,6,1,35,36,16,4,8,31,6,25]","[13,15,5,16,8,6,7 8,0,29,2 0,32,5,7,19 2,5,6,18,14,9,33,5,28,0,0,0,3,34,23,8,20,2,4,3,4,24,10,11,31,4,0,26,30,27,6 9,3,22,1,36,37,21,3,9,7,2,17,35,9,12,25,4,1]"
 65,10,28,  6,  4,     pso, 61,0.06,   0.235,"[24,28,9,0,9,21,0,4,8,1,12,5,11,37,7,5,0,6 9,18,10,0,34,15,7,4,17,13,7 8,14,27,2,19 2,29,0,22,3,2,20,3,5,9,30,3,26,32,23,3,5,4,33,2 0,6,1,35,36,16,4,8,31,6,25]","[13,15,5,16,8,6,7 8,0,29,2 0,32,5,7,19 2,5,6,18,14,9,33,5,28,0,0,0,3,34,23,8,20,2,4,3,4,24,10,11,31,4,0,26,30,27,6 9,3,22,1,36,37,21,3,9,7,2,17,35,9,12,25,4,1]"
 57, 7,26,  6,  6, combine, 52,0.09,   0.000,"[2 4,24,13,6 1,30,33,18,9,28,17,11,7,20,5,26,8,21,6,29,3,2,6,7,7,10,12,1,16,2,22,2,31,14,19,5,6,3,7,27,6,1 25,15,3,1 4,4,2,6,23,4 3,1,32,3]","[3,18,1,2,14,7,30,28,31,1 4,7,21,13,2,15,1,10,20,6,27,29,26,3,6,2,17,3,11,6,22,19,7,1 25,6 1,3,8,9,4 3,12,5,24,6,16,23,7,5,2 4,6,32,4,33,2]"
 57, 7,26,  6,  6,combineS, 52,0.09,   0.001,"[2 4,24,13,6 1,30,33,18,9,28,17,11,7,20,5,26,8,21,6,29,3,2,6,7,7,10,12,1,16,2,22,2,31,14,19,5,6,3,7,27,6,1 25,15,3,1 4,4,2,6,23,4 3,1,32,3]","[3,18,1,2,14,7,30,28,31,1 4,7,21,13,2,15,1,10,20,6,27,29,26,3,6,2,17,3,11,6,22,19,7,1 25,6 1,3,8,9,4 3,12,5,24,6,16,23,7,5,2 4,6,32,4,33,2]"
 57, 7,26,  6,  6,  greedy, 52,0.09,   0.007,"[2 4,24,13,6 1,30,33,18,9,28,17,11,7,20,5,26,8,21,6,29,3,2,6,7,7,10,12,1,16,2,22,2,31,14,19,5,6,3,7,27,6,1 25,15,3,1 4,4,2,6,23,4 3,1,32,3]","[3,18,1,2,14,7,30,28,31,1 4,7,21,13,2,15,1,10,20,6,27,29,26,3,6,2,17,3,11,6,22,19,7,1 25,6 1,3,8,9,4 3,12,5,24,6,16,23,7,5,2 4,6,32,4,33,2]"
 57, 7,26,  6,  6,     pso, 52,0.09,   0.401,"[2 4,24,13,6 1,30,33,18,9,28,17,11,7,20,5,26,8,21,6,29,3,2,6,7,7,10,12,1,16,2,22,2,31,14,19,5,6,3,7,27,6,1 25,15,3,1 4,4,2,6,23,4 3,1,32,3]","[3,18,1,2,14,7,30,28,31,1 4,7,21,13,2,15,1,10,20,6,27,29,26,3,6,2,17,3,11,6,22,19,7,1 25,6 1,3,8,9,4 3,12,5,24,6,16,23,7,5,2 4,6,32,4,33,2]"
 20, 4, 8,  4,  4, combine, 17,0.16,   0.000,"[3,3 5,0,11,4,6,0,7,10,4,8,1 0,12,4 0,3,9,1]","[10,8,11,0,12,9,4 0,4,3,0,1 0,1,7,6,3,4,3 5]"
 20, 4, 8,  4,  4,combineS, 17,0.16,   0.000,"[3,3 5,0,11,4,6,0,7,10,4,8,1,0 12,4 0,3,9,1]","[10,8,11,0 12,9,4 0,4,3,0,1,0,1,7,6,3,4,3 5]"
 20, 4, 8,  4,  4,  greedy, 17,0.16,   0.000,"[3,3 5,0,11,4,6,0,7,10,4,8,1,0 12,4 0,3,9,1]","[10,8,11,0 12,9,4 0,4,3,0,1,0,1,7,6,3,4,3 5]"
 20, 4, 8,  4,  4,     pso, 17,0.16,   0.179,"[3,3 5,0,11,4,6,0,7,10,4,8,1,0 12,4 0,3,9,1]","[10,8,11,0 12,9,4 0,4,3,0,1,0,1,7,6,3,4,3 5]"
