size,repeats,singles,maxRepeat,edges,psoIter,heuristic,blocks,score,time,left,right
 44, 5,29,  6,  6,   ,combineS, 40,0.09,   0.001,"[7,12,3,2,2 8,31,17,11,10,6,2,15 4,2,13,1,9,2,23,22,28 21,4,19,4,33,29,32,20,25,16,24,18 0,3,26,5,14,1,0,27,30,2]","[20,14,27,11,2,2,9,25,15 4,4,24,32,2,0,28 21,22,6,26,30,4,29,3,17,1,23,12,2,7,2,5,31,10,1,19,13,18 0,33,16,3,2 8]"
 44, 5,29,  6,  6,   ,  greedy, 40,0.09,   0.006,"[7,12,3,2 2,8,31,17,11,10,6,2,15 4,2,13,1,9,2,23,22,28 21,4,19,4,33,29,32,20,25,16,24,18 0,3,26,5,14,1,0,27,30,2]","[20,14,27,11,2 2,9,25,15 4,4,24,32,2,0,28 21,22,6,26,30,4,29,3,17,1,23,12,2,7,2,5,31,10,1,19,13,18 0,33,16,3,2,8]"
 44, 5,29,  6,  6,  0,     pso, 40,0.09,   0.928,"[7,12,3 2,2,8,31,17,11,10,6,2,15 4,2,13,1,9,2,23,22,28 21,4,19,4,33,29,32,20,25,16,24,18 0,3,26,5,14,1,0,27,30,2]","[20,14,27,11,2,2,9,25,15 4,4,24,32,2,0,28 21,22,6,26,30,4,29,3,17,1,23,12,2,7,2,5,31,10,1,19,13,18 0,33,16,3 2,8]"
 61, 8,23,  8,  7,   , combine, 55,0.10,   0.001,"[30,4,16,5 4,1,15,25,7,11,22,3,0,0,5 3,1,9,2,3,1,0 1,0,5,20,13,26,6,2,21,24,14,1,0,29,1,23,4,1,12,1 7,19,7,6,5,7,2,7 4,27,8,7,18 0,28,10,17,6,5]","[7,16,7,7,10,5 3,3,4,24,1,19,1,6,12,13,18 0,14,22,5,1 7,0,7,5,26,8,2,0,25,28,17,23,7 4,5 4,15,3,11,0 1,1,1,2,30,0,1,1,2,4,5,29,9,0,20,21,6,27,6]"
 61, 8,23,  8,  7,   ,combineS, 55,0.10,   0.001,"[30,4,16,5 4,1,15,25,7,11,22,3,0,0,5 3,1,9,2,3,1,0 1,0,5,20,13,26,6,2,21,24,14,1,0,29,1,23,4,1,12,1 7,19,7,6,5,7,2,7 4,27,8,7,18 0,28,10,17,6,5]","[7,16,7,7,10,5 3,3,4,24,1,19,1,6,12,13,18 0,14,22,5,1 7,0,7,5,26,8,2,0,25,28,17,23,7 4,5 4,15,3,11,0 1,1,1,2,30,0,1,1,2,4,5,29,9,0,20,21,6,27,6]"
 61, 8,23,  8,  7,   ,  greedy, 55,0.10,   0.016,"[30,4,16,5 4,1,15,25,7,11,22,3,0,0,5 3,1,9,2,3,1,0 1,0,5,20,13,26,6,2,21,24,14,1,0,29,1,23,4,1,12,1 7,19,7,6,5,7,2,7 4,27,8,7,18 0,28,10,17,6,5]","[7,16,7,7,10,5 3,3,4,24,1,19,1,6,12,13,18 0,14,22,5,1 7,0,7,5,26,8,2,0,25,28,17,23,7 4,5 4,15,3,11,0 1,1,1,2,30,0,1,1,2,4,5,29,9,0,20,21,6,27,6]"
 61, 8,23,  8,  7,  0,     pso, 55,0.10,   1.127,"[30,4,16,5 4,1,15,25,7,11,22,3,0,0,5 3,1,9,2,3,1,0 1,0,5,20,13,26,6,2,21,24,14,1,0,29,1,23,4,1,12,1 7,19,7,6,5,7,2,7 4,27,8,7,18 0,28,10,17,6,5]","[7,16,7,7,10,5 3,3,4,24,1,19,1,6,12,13,18 0,14,22,5,1 7,0,7,5,26,8,2,0,25,28,17,23,7 4,5 4,15,3,11,0 1,1,1,2,30,0,1,1,2,4,5,29,9,0,20,21,6,27,6]"
 57, 9,25,  6,  4,   , combine, 54,0.05,   0.001,"[2,0 6,7,26,31,23,13,7,6,15,6,8,34,3,12,3,4,9,30,0,0,6,29,28,4,10,8 20,17,6,18,2,1,0,0,32,8,1,19,33,9,25,8,22,24,11,8 7,4,14,0,27,16,1,8,21]","[31,1,28,25,29,8,30,6,17,0,26,0 6,0,7,0,11,13,8,4,21,1,6,32,23,3,7,0,8 7,2,2,15,12,4,8,27,6,0,8 20,1,14,9,24,4,6,33,18,22,8,3,19,34,16,9,10]"
 57, 9,25,  6,  4,   ,combineS, 54,0.05,   0.001,"[2,0 6,7,26,31,23,13,7,6,15,6,8,34,3,12,3,4,9,30,0,0,6,29,28,4,10,8 20,17,6,18,2,1,0,0,32,8,1,19,33,9,25,8,22,24,11,8 7,4,14,0,27,16,1,8,21]","[31,1,28,25,29,8,30,6,17,0,26,0 6,0,7,0,11,13,8,4,21,1,6,32,23,3,7,0,8 7,2,2,15,12,4,8,27,6,0,8 20,1,14,9,24,4,6,33,18,22,8,3,19,34,16,9,10]"
 57, 9,25,  6,  4,   ,  greedy, 54,0.05,   0.013,"[2,0 6,7,26,31,23,13,7,6,15,6,8,34,3,12,3,4,9,30,0,0,6,29,28,4,10,8 20,17,6,18,2,1,0,0,32,8,1,19,33,9,25,8,22,24,11,8 7,4,14,0,27,16,1,8,21]","[31,1,28,25,29,8,30,6,17,0,26,0 6,0,7,0,11,13,8,4,21,1,6,32,23,3,7,0,8 7,2,2,15,12,4,8,27,6,0,8 20,1,14,9,24,4,6,33,18,22,8,3,19,34,16,9,10]"
 57, 9,25,  6,  4,  0,     pso, 54,0.05,   0.507,"[2,0 6,7,26,31,23,13,7,6,15,6,8,34,3,12,3,4,9,30,0,0,6,29,28,4,10,8 20,17,6,18,2,1,0,0,32,8,1,19,33,9,25,8,22,24,11,8 7,4,14,0,27,16,1,8,21]","[31,1,28,25,29,8,30,6,17,0,26,0 6,0,7,0,11,13,8,4,21,1,6,32,23,3,7,0,8 7,2,2,15,12,4,8,27,6,0,8 20,1,14,9,24,4,6,33,18,22,8,3,19,34,16,9,10]"
 38, 5, 9,  7, 23,   , combine, 28,0.27,   0.000,"[4 1,5 0,2 0,1 5,2,9,4,1,2,12 5,0,13,6,2,1,5,0 0,1 10,4,11,2 4 5,14,1,4,7,1 0,4,8]","[2,14,4,5 0,1 10,1 0,7,4,2,13,5,1,1,1,2 0,12 5,11,0 0,8,9,0,2 4 5,4 1,1 5,6,4,2,4]"
 38, 5, 9,  7, 23,   ,combineS, 29,0.24,   0.001,"[4 1,5,0 2,0,1 5,2,9,4,1 2,12 5,0,13,6,2,1,5,0,0 1 10,4,11,2 4,5,14,1,4,7,1 0,4,8]","[2,14,4,5,0 1 10,1 0,7,4,2,13,5,1,1,1 2,0,12 5,11,0,0,8,9,0 2,4,5,4 1,1 5,6,4,2 4]"
 38, 5, 9,  7, 23,   ,  greedy, 29,0.24,   0.003,"[4 1,5,0,2 0,1 5,2,9,4,1,2,12 5,0,13,6,2,1,5,0,0 1 10,4,11,2 4 5,14,1,4,7,1 0,4,8]","[2,14,4,5,0 1 10,1 0,7,4,2,13,5,1,1,1,2 0,12 5,11,0,0,8,9,0,2 4 5,4 1,1 5,6,4,2,4]"
 38, 5, 9,  7, 23,  3,     pso, 28,0.27,   7.380,"[4,1,5 0,2 0,1 5,2,9,4 1,2,12 5,0,13,6,2,1,5,0 0,1 10,4,11,2 4 5,14,1,4,7,1 0,4,8]","[2,14,4,5 0,1 10,1 0,7,4,2,13,5,1,1,1,2 0,12 5,11,0 0,8,9,0,2 4 5,4 1,1 5,6,4,2,4]"
 69,10,12, 10, 38,   , combine, 55,0.21,   0.001,"[20,8 4 2,4,15,14,2,9,19,0 9,8 4,4,1,10,17,1,12,0,8 0,3 9,4 4,9 5,3,7,21,8,18,4 4,7,9 0,6,0 0,5,6,3 8,1,1,9,16,4 9,5,7,8,11,6,6,5,1,0,8 1,2,5,8,8,4,13]","[7,13,0,6,4,8,12,9,6,8 4 2,6,21,1,8 0,4,7,15,18,0,3 8,3 9,9,2,20,5,0 0,11,10,1,8 1,6,14,8,1,7,17,2,4 4,8 4,1,4 9,8,9 0,5,4,19,5,5,0 9,4 4,16,1,8,3,9 5]"
 69,10,12, 10, 38,   ,combineS, 55,0.21,   0.001,"[20,8 4 2,4,15,14,2,9,19,0 9,8 4,4,1,10,17,1,12,0,8 0,3 9,4 4,9 5,3,7,21,8,18,4 4,7,9 0,6,0 0,5,6,3 8,1,1,9,16,4 9,5,7,8,11,6,6,5,1,0,8 1,2,5,8,8,4,13]","[7,13,0,6,4,8,12,9,6,8 4 2,6,21,1,8 0,4,7,15,18,0,3 8,3 9,9,2,20,5,0 0,11,10,1,8 1,6,14,8,1,7,17,2,4 4,8 4,1,4 9,8,9 0,5,4,19,5,5,0 9,4 4,16,1,8,3,9 5]"
 69,10,12, 10, 38,   ,  greedy, 55,0.21,   0.017,"[20,8 4 2,4,15,14,2,9,19,0,9 8,4 4,1,10,17,1,12,0,8 0,3,9 4 4,9 5,3,7,21,8,18,4,4 7,9,0 6,0,0 5,6,3,8 1,1,9,16,4,9,5,7,8,11,6,6,5,1,0,8 1,2,5,8,8 4,13]","[7,13,0 6,4,8,12,9,6,8 4 2,6,21,1,8 0,4 7,15,18,0,3,8,3,9,9,2,20,5,0,0,11,10,1,8 1,6,14,8 1,7,17,2,4 4,8 4,1,4,9 8,9,0 5,4,19,5,5,0,9 4 4,16,1,8,3,9 5]"
 69,10,12, 10, 38, 25,     pso, 54,0.22,  18.157,"[20,8 4 2,4,15,14,2,9,19,0 9,8,4 4,1,10,17,1,12,0,8 0,3 9,4 4,9 5,3,7,21,8,18,4,4 7,9,0 6,0,0 5,6,3,8 1,1,9,16,4 9,5,7,8,11,6,6,5,1,0,8 1,2,5,8,8 4,13]","[7,13,0 6,4,8,12,9,6,8 4 2,6,21,1,8 0,4 7,15,18,0,3,8,3 9,9,2,20,5,0,0,11,10,1,8 1,6,14,8 1,7,17,2,4 4,8 4,1,4 9,8,9,0 5,4,19,5,5,0 9,4 4,16,1,8,3,9 5]"
 46, 8,21,  6,  6,   , combine, 43,0.07,   0.000,"[7,21 0,2,24,0,5,3,9,22,5,8,15,7,7,14,26,0,23,5,11,27,5 6,13,5,4,5,6,3,28,20,4,19,10,6,2,16 0,12,18,3,8,29,17,25]","[3,25,26,29,28,6,24,3,18,5,23,10,22,15,27,0,0,12,7,8,11,5,7,2,5,9,16 0,20,7,5,5,21 0,5 6,6,4,3,4,17,14,13,2,19,8]"
